,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,Five_Day_Observation_Outcome,Thirty_Day_Observation_Outcome,Sixty_Day_Observation_Outcome
100,2012-10-10,19.93,19.94,19.45,19.64,39321800,0,0,-1154731399.7271538,20037700,-0.12565767775552308,-6110727.56258174,38.435295420455404,-0.7040623776124207,-0.4379860901852549,-1373153.1776239881,610.4037893286305,21.245998670684163,0.9322198800979551,21.38650000000001,23.333572417759708,19.43942758224031,18.208425107050694,0.05150615250111488,0.0,0.0,21.162333333333326,21.953333333333326,20.371333333333325,7.475546174807447,-0.4622840286557044,0.0,1.0,18.329319898066537,0.048469387755102344,-0.12197956854188519,0.04322727874238412,-0.16520684728426932,21.008333333333322,20.900769230769225,20.88269183615492,21.004671404696804,19.94678852617796,20.205091934607882,30.406119140382486,0.7551601423487533,1.0989323843416356,-0.34377224199288237,0.10401389470334392,25.89635164891068,-147.39957716701795,-1.1065000000000076,61.74676523059265,82.28225180641768,-20.535486575825026,21.02,20.775,20.8975,20.795,19.7175,25.5,40.0,12.0,28.0,,22.4396,0.0,0.0,40.98904904978655,-2.8013597809893946,34.960187783952556,5.013192612137238,11.439971767070922,-94.98680738786275,0.23355882352942814,21.569842945057214,-5.531505531505525,-2.9164607019278255,-2.9598348253334184,-48.626732932252146,0,1,1
101,2012-10-11,19.88,19.96,19.61,19.75,21817300,0,0,-1159094859.7271538,41855000,-0.08221024033404628,-4894923.196498637,34.69487180156516,0.14438083539209745,-0.4303507982178841,-1024610.1905228371,613.8225478228336,21.044520321120945,0.8739978920881597,21.33850000000001,23.394216663356275,19.282783336643746,19.267677328362005,0.11363838988235203,0.0,0.0,21.090333333333326,21.832333333333327,20.348333333333326,7.036398982156132,-0.40318957771787395,0.0,1.0,18.370550882208214,0.07653061224489811,-0.2033012284571214,-0.006078422697516989,-0.1972228057596044,20.96416666666666,20.945769230769223,20.70843155366955,20.91173278212667,19.934566949466163,19.80905514322151,29.57511348895221,0.7578181818181806,1.100363636363635,-0.3425454545454545,0.07276676902184648,25.806042512450265,-124.99180274116232,-0.7185000000000095,52.8995312355033,79.84396861722836,-26.94443738172506,21.02,20.96,20.990000000000002,20.46,19.55,25.5,36.0,8.0,28.0,,22.320016,0.0,0.0,41.82320518285859,-4.676953707929568,32.851645846468166,9.554140127388555,9.022444246508584,-90.44585987261145,-0.1974999999999838,21.537099497429367,-2.6134122287968498,0.5600814663951015,0.5585188420810905,-48.33900078472404,0,1,1
102,2012-10-12,19.75,19.8,19.48,19.52,18809400,0,0,-1173201909.7271538,23045600,-0.17551352342796428,-4813671.596998833,38.81686241875228,-0.24668516805427024,-0.19198714582403614,-96851.52344737011,606.6742346076816,20.992413552816867,0.8185981028793439,21.214500000000008,23.391272611000204,19.037727388999812,20.52155470079611,0.11077698436737267,0.0,0.0,20.913333333333323,21.54233333333333,20.284333333333326,6.015301243226028,-0.6075781664016887,0.0,1.0,18.4779278323788,0.017857142857142922,-0.28304553490402284,-0.06147184513881816,-0.2215736897652047,20.87249999999999,20.96730769230768,20.52559593002808,20.8086414649321,20.047321882578498,19.28996702627099,29.864671205868316,0.8634399308556596,1.1002592912705258,-0.23681936041486618,0.0360226211993936,25.643070647880236,-120.14970421344826,-0.8945000000000078,37.15191373978014,74.34766063028172,-37.19574689050158,20.97,20.96,20.965,20.46,19.3075,25.494999999999997,32.0,4.0,28.0,,22.20521536,0.0,0.0,40.533044526139975,-6.619169333433991,35.19709583439508,2.2292993630573337,5.598877367527695,-97.77070063694266,-0.5256470588235125,21.211376984407227,-5.3346265761396765,-1.1645569620253204,-1.1713910362184166,-48.94062254773738,0,1,1
103,2012-10-15,19.68,19.88,19.49,19.52,20189700,0,0,-1190285502.034846,43235300,-0.14394162549229605,-4126004.225999,44.72946074657449,0.08692551152319898,-0.11627328026871976,-219046.17721519026,606.6742346076816,20.976300284822134,0.7757382925914096,21.11450000000001,23.406647246579215,18.822352753420805,21.71159389594074,0.15218203097998206,0.0,0.0,20.66599999999999,21.247999999999998,20.083999999999993,5.632439756121192,-0.48453608247421864,0.0,1.0,18.56544081081721,0.017857142857142922,-0.34229767773388886,-0.1176370116578323,-0.22466066607605656,20.805833333333325,20.98807692307691,20.37088886386991,20.7131865416038,20.02921008345055,19.330626829510486,28.871672724529716,0.8696444849589773,1.0282588878760244,-0.1586144029170471,-0.00289605222384866,25.444867603943326,-105.46113123432596,0.5454999999999899,25.29392106205063,66.40927890502564,-41.115357842975016,20.97,20.96,20.965,20.46,19.27,25.494999999999997,28.000000000000004,4.0,24.000000000000004,,22.0950067456,0.0,0.0,40.533044526139975,-8.23507492518923,30.9904635043996,2.2292993630573337,4.670912951167726,-97.77070063694266,-0.6905294117646825,20.804149493602292,-3.9370078740157513,0.0,0.0,-48.94062254773738,0,1,1
104,2012-10-16,19.68,19.69,19.3,19.48,21834700,0,0,-1191965094.3425384,21400600,-0.17694890863075097,-3661344.765141998,46.31861703592963,-0.3393680700902656,-0.06278058503444628,-44743.237704917075,606.6742346076816,20.954508547389242,0.7371644633322687,20.99500000000001,23.36501687757718,18.624983122422844,22.57696477806303,0.18038202294390987,0.0,0.0,20.39566666666666,20.949666666666662,19.841666666666658,5.432526517070642,-0.32641395908542975,0.0,1.0,19.38556799237913,0.044226044226044155,-0.3880103517147333,-0.17171167966921252,-0.21629867204552078,20.62416666666666,21.013846153846146,20.233829038659156,20.62183939037389,20.21248743905716,18.662371605083898,29.557753819311767,0.8843930635838132,1.0067437379576094,-0.12235067437379621,-0.0419919822213475,25.20660212097071,-102.81807570451808,0.9949999999999868,13.447291136137856,57.48032843015622,-44.033037294018364,20.85,21.11,20.98,20.46,19.25,25.225,24.0,100.0,-76.0,,21.989206475775998,0.0,0.0,40.2824085363363,-9.6669795192364,34.67356252963837,5.471124620060783,3.30990778205847,-94.52887537993922,-0.8532352941176278,20.356492221574523,-10.064635272391504,-0.2049180327868827,-0.20512827705574388,-49.04525241956578,0,1,1
105,2012-10-17,19.5,20.48,19.37,19.88,44074500,0,0,-1195538702.4506466,65475100,-0.27857333426678726,-619752.6558360076,47.67063339158928,1.0829391144539349,-0.043013366950994655,860277.2961759832,606.6742346076816,20.889123319907203,0.7744480169990418,20.824500000000008,22.991511536656112,18.657488463343903,20.812135097179805,0.2820731491218876,0.0,0.0,20.18266666666666,20.778666666666663,19.58666666666666,5.906058003567438,0.24608501118568724,0.0,0.0,18.920022089365872,0.14720812182741083,-0.3874945224779047,-0.21486824823095096,-0.17262627424695376,20.448333333333327,21.03115384615384,20.179393801942364,20.56688832442027,19.19839154199676,23.6931175675263,26.72589417075477,0.8600938967136134,0.953051643192487,-0.09295774647887367,-0.07574396157513932,25.09357082230634,-68.37158010817524,1.445499999999992,3.514895174152616,47.57274966761396,-44.05785449346135,20.465,21.335,20.9,20.46,19.2825,25.215000000000003,20.0,96.0,-76.0,,21.827854087229436,0.0,0.0,44.01081326423312,-10.00112512225601,37.733534382342,17.629179331306943,8.44320110480834,-82.37082066869307,-0.8278235294117451,20.268262341504325,-9.595270577535242,2.053388090349073,2.0325903014038804,-47.99895370128171,0,1,1
106,2012-10-18,19.7,19.79,18.89,18.98,52157400,0,0,-1237264622.4506466,13317700,-0.2710548532572376,-7237167.990716567,35.395208835087175,-1.0094444891808256,-0.21712853422611064,-1456229.9691372048,606.6742346076816,20.640922629123448,0.7960032152991374,20.644000000000013,22.794036278763855,18.49396372123617,20.829648118231358,0.1130297854888466,0.0,0.0,19.91266666666666,20.499666666666663,19.325666666666656,5.895744752084136,-0.29443498012491803,0.0,1.0,21.071497771749637,0.020689655172413772,-0.454469362563259,-0.26278847109741255,-0.19168089146584644,20.17416666666666,20.956153846153843,19.994871678566618,20.449341041129877,18.802505404049242,21.69653372381523,28.559488948468225,0.7782217782217765,1.1228771228771213,-0.34465534465534475,-0.11278287431965484,25.021877836968404,-109.66172894096725,1.1859999999999857,-8.461377301046308,37.518557394665095,-45.97993469571141,19.82,21.130000000000003,20.475,20.46,19.677500000000002,25.215000000000003,16.0,100.0,-84.0,,21.67618284199567,0.0,0.0,38.22764865622401,-11.923143532895809,30.623463612743837,2.432432432432429,8.510912127933372,-97.56756756756756,-0.919323529411745,19.92958385679293,-14.773237539290522,-4.527162977867194,-4.6328408046646175,-50.35312581742086,1,1,1
107,2012-10-19,19.0,19.06,18.8,19.0,34835000,0,0,-1218507314.7583387,48152700,-0.24006383214004234,-6103758.277757061,25.106173754231563,-0.3060140663126144,-0.3510286036962317,-2324543.442954881,607.3135119887223,20.35090973599665,0.7424028937692235,20.45100000000001,22.459002988045768,18.442997011954255,19.637210777426585,0.13869575676972373,0.0,0.0,19.693999999999996,20.232,19.155999999999988,5.463592972478986,-0.14498141263939268,0.0,1.0,18.53210111974963,0.052770448548812486,-0.5001679482419519,-0.3102643665263204,-0.1899035817156315,19.93833333333333,20.890384615384612,19.841814497248677,20.34198244549063,18.53450660967605,21.191466493481656,28.70046236342074,0.6284796573875786,1.2858672376873646,-0.657387580299786,-0.15009529874850946,24.757325957557782,-125.16744360499254,1.4989999999999881,-20.477406832056367,26.583137810461395,-47.06054464251776,19.675,21.085,20.380000000000003,20.46,19.7575,25.215000000000003,12.0,96.0,-84.0,,21.453288214636014,0.0,0.0,38.42129481314628,-13.464713069427232,33.02098067728009,5.42005420054199,8.49388865476044,-94.579945799458,-1.0779411764705635,19.73986969996308,-12.96381126889601,0.10537407797681642,0.10531859846585334,-50.30081088150666,1,1,1
108,2012-10-22,19.2,19.43,19.05,19.32,32447300,0,0,-1204845293.705707,80600000,-0.18549433748574953,-3748487.666648908,24.897874299422668,0.3630502383865526,-0.32428092132691433,583187.9021684873,617.5419500853745,20.158709255146018,0.7111626043923012,20.37750000000001,22.437430824081414,18.317569175918603,20.217699168999186,0.24331662315126917,0.0,0.0,19.576999999999995,20.094,19.059999999999988,5.2817081268836565,0.2514506769826005,0.0,0.0,18.59894491473438,0.13720316622691284,-0.504744698295152,-0.3491604328800867,-0.15558426541506531,19.719166666666663,20.78730769230769,19.761535343825802,20.266280042120954,17.73723774994942,23.773366549746868,27.557887792123125,0.630769230769229,1.2362637362637343,-0.6054945054945053,-0.18277295700165927,24.39995181122909,-90.92042003633524,0.5324999999999918,-30.25627593324465,14.984361945763409,-45.240637879008055,19.64,21.085,20.3625,20.46,19.9075,25.215000000000003,8.0,92.0,-84.0,,21.187959393172413,0.0,0.0,41.57704719584352,-13.972192245398391,34.771250657391924,14.09214092140921,7.314875851461196,-85.90785907859079,-1.2060588235293928,19.702472121351306,-11.98177676537585,1.6842105263157992,1.6701849617931863,-49.46377190687941,1,1,1
109,2012-10-23,19.25,19.8,19.1,19.5,78381200,0,0,-1193647979.419993,158981200,-0.1091271106414144,-1197472.857127639,37.878974295871856,0.1875449725189209,-0.30934467810289157,1276740.469434455,617.5419500853745,19.934610440055874,0.710046343953071,20.33850000000001,22.433573029753553,18.243426970246468,20.60204075771116,0.29988764398856094,0.0,0.0,19.49866666666666,20.027666666666665,18.969666666666658,5.426012035010977,0.5012602394454996,0.0,0.0,18.63460923863607,0.18469656992084418,-0.4882194204360282,-0.37697223039127503,-0.11124719004475314,19.601666666666663,20.709615384615383,19.72129913708337,20.2095185575194,16.48268750921542,25.67077617408805,25.760026298119286,0.6388583973655306,1.1953896816684941,-0.5565312843029635,-0.2089576929838631,24.215550669998404,-68.20765441454951,0.06149999999998812,-36.885156996237825,4.025259476115578,-40.910416472353404,19.64,21.085,20.3625,20.46,20.307499999999997,25.215000000000003,4.0,88.0,-84.0,,20.94916345385517,0.0,0.0,43.336128135542225,-13.945175580149382,39.16365504706799,19.444444444444436,12.985546522131864,-80.55555555555557,-1.2440294117646857,19.692487365789088,-6.7431850789096135,0.9316770186335477,0.9273636785328776,-48.99293748365158,1,1,1
